발전소명,설비용량,설비구분,주소
경상대태양광,905,태양광,경남 진주시 진주대로 501
광양항세방태양광,3097,태양광,전남 광양시 컨부두로 545
구미태양광,992,태양광,경북 구미시 금전동 848
두산엔진MG태양광,77,태양광,경남 창원시 성산구 공단로 69
본사사옥태양광,404,태양광,경남 진주시 사들로123번길 32 한국남동발전
삼천포태양광1,100,태양광,경남 고성군 하이면 하이로 1
삼천포태양광2,990,태양광,경남 고성군 하이면 하이로 1
삼천포태양광3,350,태양광,경남 고성군 하이면 하이로 1
삼천포태양광4,1850,태양광,경남 고성군 하이면 하이로 1
삼천포태양광5,10586,태양광,경남 고성군 하이면 하이로 1
영흥태양광,1000,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광,993,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광 #3,3332,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광 #3,1283,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광 #3,1538,태양광,인천광역시 옹진군 영흥면 외리 368
예천태양광,2000,태양광,경북 예천군 은풍면 도효자로 1210 예천양수발전소
탑선태양광,607,태양광,전남 장성군 동화면 전자농공단지길 32
탑선태양광,403,태양광,전남 장성군 동화면 전자농공단지길 32
탕정태양광,1200,태양광,제대로 운영 X
영흥태양광ESS 2단지,3000,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광ESS 3단지,9000,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광ESS 3단지,3000,태양광,인천광역시 옹진군 영흥면 외리 368
영흥태양광ESS 3단지,6000,태양광,인천광역시 옹진군 영흥면 외리 368
삼천포태양광 ESS,1000,태양광,경남 고성군 하이면 하이로 1
삼천포태양광 ESS,1500,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#5 ESS,4000,태양광,경남 고성군 하이면 하이로 1
삼천포태양광#5 ESS,6000,태양광,경남 고성군 하이면 하이로 1
여수태양광,118,태양광,전남 여수시 여수산단로 727
영동태양광,1066,태양광,경기 성남시 분당구 분당로 336
영암에프원태양광b,13300,태양광,전남 영암군 삼호읍 에프원로 2
세종시폐기물매립장태양광,1625,태양광,세종특별자치시 고운동 552
안산연성정수장태양광,1490,태양광,경기도 시흥시 시흥대로412번길 87
남제주소내태양광,196,태양광,서귀포시 안덕면 화순해안로 106번길 55
부산복합 자재창고 태양광발전소,187,태양광,부산광역시 사하구 감천항로 7(감천동)
"부산발전본부 1,400kW 태양광발전소",1400,태양광,부산광역시 사하구 감천항로 7(감천동)
부산 수처리 건물 태양광발전소,110,태양광,부산광역시 사하구 감천항로 7(감천동)
부산신항태양광,115,태양광,부산 강서구 성북동 1490
부산복합태양광(운동장),390,태양광,부산광역시 사하구 감천항로 7(감천동)
부산복합 2단계 태양광(운동장),501,태양광,부산광역시 사하구 감천항로 7(감천동)
삼척소내태양광#1,999,태양광,강원도 삼척시 원덕읍 삼척로 734
삼척소내태양광#2,990,태양광,강원도 삼척시 원덕읍 삼척로 734
삼척소내태양광#3,2002,태양광,강원도 삼척시 원덕읍 삼척로 734
삼척소내태양광#4,2599,태양광,강원도 삼척시 원덕읍 삼척로 734
신인천 소내 태양광 발전소,200,태양광,인천광역시 서구 장도로 57 (청라동)
신인천 법사면 전망대 태양광 발전소,1742,태양광,인천광역시 서구 장도로 57 (청라동)
신인천 해수취수구 태양광,907,태양광,인천광역시 서구 장도로 57 (청라동)
영월복합태양광,76,태양광,영월군 영월읍 중앙로 411
영월철도부지 태양광,1190,태양광,강원도 영월군 영월읍 중앙로 411 정양리 일원(585)
위미2리 제2태양광,995,태양광,제주특별자치도 서귀포시 남원읍 위미리 3696
인천수산정수장태양광,998,태양광,인천광역시 남동구 수산동 294-4
하동공설운동장태양광,370,태양광,하동군 적량면 고절리 1209-1
하동변전소태양광,48,태양광,하동군 적량면 동산리 867
하동군보건소태양광,40,태양광,하동군 하동읍 읍내리 149-1
하동화력태양광 #1,998,태양광,하동군 금성면 가덕리 310
하동화력태양광 #2,1900,태양광,하동군 금성면 가덕리 310
하동화력태양광 #3,600,태양광,하동군 금성면 가덕리 310
하동화력태양광 #4,997,태양광,"하동군 금남면 덕오길 173-176 금남면 대송리 482, 491, 492-2, 515, 527, 870, 산100"
하동화력태양광 #5,997,태양광,"하동군 금남면 덕오길 173-176 금남면 대송리 482, 491, 492-2, 515, 527, 870, 산100"
하동화력태양광 #6,998,태양광,"하동군 금성면 가덕리 1321,309"
하동정수장태양광,93,태양광,하동군 하동읍 두곡리 543
하동하수처리장태양광,55,태양광,하동군 하동읍 신기리 2-2
