발전소명,설비용량,설비구분
경상대태양광,905,태양광
광양항세방태양광,3097,태양광
구미태양광,992,태양광
두산엔진MG태양광,77,태양광
본사사옥태양광,404,태양광
삼천포태양광1,100,태양광
삼천포태양광2,990,태양광
삼천포태양광3,350,태양광
삼천포태양광4,1850,태양광
삼천포태양광5,10586,태양광
영흥태양광,6647,태양광
영흥태양광,1000,태양광
영흥태양광 #2,993,태양광
영흥태양광 #3,3332,태양광
영흥태양광 #3,1283,태양광
영흥태양광 #3,1538,태양광
예천태양광,2000,태양광
탑선태양광,607,태양광
탑선태양광,403,태양광
탕정태양광,1200,태양광
영흥태양광ESS 2단지,3000,태양광
영흥태양광ESS 3단지,9000,태양광
영흥태양광ESS 3단지,3000,태양광
영흥태양광ESS 3단지,6000,태양광
삼천포태양광 ESS,1000,태양광
삼천포태양광 ESS,1500,태양광
삼천포태양광#5 ESS,4000,태양광
삼천포태양광#5 ESS,6000,태양광
여수태양광,118,태양광
영동태양광,1066,태양광
